,game_id,player_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
3470,2016020889,8477451,16,706,0,0,2,1.0,0,0,0,1,3,0.0,0.0,0,0,0.0,0,706,0,0
3471,2016020889,8473573,16,1161,0,0,0,0.0,0,0,0,5,15,0.0,0.0,0,0,1.0,0,1083,0,78
3472,2016020889,8478550,16,1272,0,0,2,0.0,0,0,0,0,0,1.0,1.0,0,0,0.0,0,1101,0,171
3473,2016020889,8479482,16,984,0,0,1,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,1,984,0,0
5184,2015020954,8471769,16,932,1,0,2,1.0,0,0,0,0,0,1.0,1.0,0,0,0.0,-1,917,15,0
5185,2015020954,8471956,16,751,0,0,1,1.0,0,0,0,0,0,0.0,4.0,0,0,0.0,0,736,15,0
5186,2015020954,8477929,16,582,0,0,0,0.0,0,0,0,6,9,0.0,0.0,0,0,0.0,0,573,9,0
5187,2015020954,8470607,16,1360,0,0,4,1.0,0,0,0,0,0,1.0,1.0,0,0,2.0,-1,1284,0,76
5188,2015020954,8474668,16,771,0,0,1,2.0,0,0,0,0,1,0.0,2.0,0,0,0.0,1,771,0,0
5189,2015020954,8476979,16,1005,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,1005,0,0
5190,2015020954,8470039,16,965,0,1,2,1.0,0,0,0,1,1,0.0,1.0,0,0,0.0,1,965,0,0
5191,2015020954,8473604,16,1202,0,1,2,0.0,1,0,0,17,27,2.0,0.0,0,0,1.0,-1,1093,0,109
5192,2015020954,8471217,16,1028,1,0,1,3.0,0,1,2,0,0,1.0,2.0,0,0,1.0,-1,919,0,109
5193,2015020954,8477845,16,1235,0,0,0,0.0,0,0,2,0,0,1.0,1.0,0,0,6.0,0,1235,0,0
5194,2015020954,8476882,16,1050,1,0,3,0.0,0,0,0,8,16,1.0,1.0,0,0,0.0,1,971,0,79
5195,2015020954,8470281,16,1310,0,0,3,0.0,0,0,0,0,0,1.0,1.0,0,0,2.0,-2,1217,6,87
5196,2015020954,8474141,16,1206,0,0,2,0.0,0,0,0,0,1,0.0,2.0,0,0,0.0,-3,1140,0,66
5197,2015020954,8474850,16,516,0,0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,516,0,0
5198,2015020954,8473573,16,974,0,0,0,4.0,0,0,0,1,6,1.0,1.0,0,0,0.0,-2,922,6,46
5199,2015020954,8478550,16,1179,0,0,3,1.0,0,0,0,0,0,1.0,2.0,0,0,0.0,-2,1133,0,46
5200,2015020954,8476381,16,845,0,0,0,2.0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,756,0,89
5201,2015020954,8469555,16,1279,1,0,3,1.0,0,1,0,0,0,0.0,2.0,0,0,1.0,0,1202,9,68
5760,2016020634,8466148,16,993,0,0,2,0.0,0,0,0,0,0,1.0,0.0,0,0,0.0,-2,873,0,120
5761,2016020634,8471769,16,1262,0,0,1,0.0,0,0,0,0,0,0.0,0.0,0,0,3.0,-2,1262,0,0
5762,2016020634,8471956,16,552,0,0,0,2.0,0,0,0,0,0,0.0,1.0,0,0,1.0,-2,552,0,0
5763,2016020634,8465058,16,971,0,0,0,3.0,0,0,0,0,0,0.0,1.0,0,0,1.0,-2,971,0,0
5764,2016020634,8477929,16,554,0,0,0,2.0,0,0,0,2,4,0.0,0.0,0,0,1.0,-2,554,0,0
5765,2016020634,8466285,16,1131,0,0,2,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,-3,982,0,149
5766,2016020634,8470607,16,1166,0,0,0,1.0,0,0,0,0,0,1.0,3.0,0,0,2.0,-1,1075,0,91
5767,2016020634,8475209,16,1042,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,1.0,-1,928,0,114
5768,2016020634,8473604,16,1087,0,0,2,0.0,0,0,0,3,12,2.0,2.0,0,0,0.0,-2,973,0,114
5769,2016020634,8478528,16,877,0,0,1,1.0,0,0,0,1,12,1.0,0.0,0,0,0.0,-1,877,0,0
5770,2016020634,8477845,16,1334,0,0,0,1.0,0,0,0,0,0,0.0,1.0,0,0,3.0,-3,1210,0,124
5771,2016020634,8470281,16,1336,0,0,4,0.0,0,0,0,0,0,0.0,1.0,0,0,2.0,-1,1220,0,116
5772,2016020634,8474141,16,1172,0,0,5,0.0,0,0,0,0,0,0.0,1.0,0,0,0.0,-1,1046,0,126
5773,2016020634,8476994,16,893,0,0,0,0.0,0,0,0,0,0,1.0,1.0,0,0,0.0,-2,893,0,0
5774,2016020634,8477451,16,865,0,0,3,1.0,0,0,0,1,1,1.0,0.0,0,0,0.0,-1,865,0,0
