,game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
43252,2001020827,8459432,16,3600,0,0,0,21,19,5,0,14,0,16,5,90.4761904761905,100.0,87.5
43286,2001020540,8459132,16,1818,0,0,0,8,7,1,0,6,0,6,2,87.5,50.0,100.0
43287,2001020540,8459432,16,1782,0,0,0,17,13,0,0,13,0,16,1,76.4705882352941,0.0,81.25
43312,2001020173,8459432,16,3600,0,0,0,26,25,7,3,15,3,16,7,96.1538461538462,100.0,93.75
43321,2001020559,8459132,16,3600,1,0,0,24,23,3,0,20,0,21,3,95.8333333333333,100.0,95.2380952380952
43329,2001020949,8459432,16,3600,0,0,0,18,17,2,0,15,0,16,2,94.4444444444444,100.0,93.75
43337,2001020413,8459432,16,3600,0,0,0,21,19,0,0,19,0,20,1,90.4761904761905,0.0,95.0
43346,2001020277,8459432,16,3900,0,0,0,23,21,5,0,16,0,17,6,91.304347826087,83.3333333333333,94.1176470588235
43348,2001020039,8459432,16,3528,0,0,0,29,28,5,1,22,1,23,5,96.551724137931,100.0,95.6521739130435
43363,2001020210,8459432,16,3598,0,0,0,29,25,2,0,23,0,24,5,86.2068965517241,40.0,95.8333333333333
43386,2001020885,8459132,16,1146,0,0,0,3,3,0,0,3,0,3,0,100.0,0.0,100.0
43387,2001020885,8459432,16,2400,0,0,0,30,25,9,1,15,1,19,10,83.3333333333333,90.0,78.9473684210526
43465,2001020765,8459432,16,3600,0,0,0,26,25,1,2,22,2,23,1,96.1538461538462,100.0,95.6521739130435
43504,2001020350,8459132,16,3893,0,0,0,21,17,3,0,14,0,17,4,80.9523809523809,75.0,82.3529411764706
43571,2001020845,8459432,16,3597,0,0,0,34,30,9,0,21,0,24,10,88.2352941176471,90.0,87.5
43581,2001020009,8459432,16,3600,0,0,0,27,23,1,2,20,2,23,2,85.1851851851852,50.0,86.9565217391304
43634,2001020128,8459432,16,3600,0,0,0,29,26,5,1,20,1,21,7,89.6551724137931,71.4285714285714,95.2380952380952
43638,2001021075,8459132,16,3814,0,0,0,31,28,5,2,21,2,23,6,90.3225806451613,83.3333333333333,91.304347826087
43645,2001020094,8459432,16,3595,0,0,0,23,20,5,1,14,1,17,5,86.9565217391304,100.0,82.3529411764706
